餐廳名稱,類型,地區或地址,推薦重點,推薦人,Threads留言URL,來源貼文URL,原留言摘錄
蔣老爹愛吃鍋,火鍋,,,y__o6o4,https://www.threads.com/@y__o6o4/post/DbCUTpgASeC,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,y__o6o4 6小時 川菜：老位川酒 江浙菜：人間半醒 湘菜：湘八老 上海菜：葉公館 火鍋：蔣老爹愛吃鍋 義大利麵：李氏、章邖 居酒屋：東京系列（東京煙火氣、東京酒食製作所…） 燒肉：阿叔燒肉 中菜：招治飯店 韓式：李上
橋頭火鍋,火鍋,,,andychang604,https://www.threads.com/@andychang604/post/DbAqv6jidxM,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,andychang604 22小時 八和燒肉、橋頭火鍋
橋頭麻辣鍋,麻辣鍋,台北市,從小吃到大,hnywg,https://www.threads.com/@hnywg/post/DbBDF-_k_ib,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,hnywg 18小時 從小吃到大的：台北市圍爐酸菜白肉火鍋、夫妻肺片麻辣鍋、橋頭麻辣鍋、七輪燒肉 最近愛上的一品蔬菜羊肉爐、麻皇麻辣火鍋、AJIMI、鰭狄日式阪前、萬豪欣葉鍾菜（比一般欣葉好吃） 南港中信享鮮餐廳的海鮮（肉類普遍不行）
燒肉天國,燒肉,板橋,,i_m_en,https://www.threads.com/@i_m_en/post/Da_3jEhET60,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,i_m_en 1天 板橋的話，我真的推「燒肉天國」… 好吃到… 就算現在經濟狀況不太好， 還是覺得要存錢去吃😂
燒肉燒,燒肉,,推薦松阪豬、餐前湯與花生冰淇淋,tyty___official,https://www.threads.com/@tyty___official/post/Da-qDzZCZL1,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,tyty___official 1天 燒肉燒
築間 中山東路店,火鍋,中山東路,食材新鮮、服務周到,jhujianzhongli,https://www.threads.com/@jhujianzhongli/post/DbC20pgkTfv,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,jhujianzhongli 1小時 我心中的No.1就是築間中山東路店！食材新鮮又好吃，老闆親切又客氣，員工貼心又服務周到！
錢都,火鍋,台北,CP值高；剝皮辣椒鳳梨鍋,qns_____,https://www.threads.com/@qns_____/post/DbAunEIlFzn,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,qns_____ 21小時 台北N刷火鍋店必須提到錢都吧！！ CP值高最近還有新的鍋底 剝皮辣椒鳳梨鍋好吃😋
龍泉市場無名麵攤,麵食,龍泉市場,,liu.tangwei,https://www.threads.com/@liu.tangwei/post/Da-XJ3wGneW,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,liu.tangwei 1天 龍泉市場無名麵攤
鮨一田,壽司,,,corbin_lai1015,https://www.threads.com/@corbin_lai1015/post/DbAcZiYGDgv,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,corbin_lai1015 1天 忠泰裡面的la vie 壽司的話 鮨一田、鮨岡心
鮨岡心,壽司,,,corbin_lai1015,https://www.threads.com/@corbin_lai1015/post/DbAcZiYGDgv,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,corbin_lai1015 1天 忠泰裡面的la vie 壽司的話 鮨一田、鮨岡心
